name,percentage_positive_review,review_qualification,all_reviews
Yandere School,55,Mixed,"Mixed,(156),- 55% of the 156 user reviews for this game are positive."
Fleet Scrapper,-1,,"4 user reviews,- Need more user reviews to generate a score"
Alice's Patchworks 2,74,Mostly Positive,"Mostly Positive,(39),- 74% of the 39 user reviews for this game are positive."
Europa Universalis IV: El Dorado Collection,-1,,
Idle Space Raider,65,Mixed,"Mixed,(70),- 65% of the 70 user reviews for this game are positive."
新仙剑奇侠传 单机版(Chinese Paladin：Sword and Fairy),40,Mixed,"Mixed,(538),- 40% of the 538 user reviews for this game are positive."
Witch Sword,76,Mostly Positive,"Mostly Positive,(13),- 76% of the 13 user reviews for this game are positive."
Paranormal,64,Mixed,"Mixed,(318),- 64% of the 318 user reviews for this game are positive."
Cattle Call: Hollywood Talent Manager,55,Mixed,"Mixed,(77),- 55% of the 77 user reviews for this game are positive."
Girlfriend Rescue,79,Mostly Positive,"Mostly Positive,(64),- 79% of the 64 user reviews for this game are positive."
Slay,65,Mixed,"Mixed,(35),- 65% of the 35 user reviews for this game are positive."
aMAZE Frozen,71,Mostly Positive,"Mostly Positive,(21),- 71% of the 21 user reviews for this game are positive."
KINGDOMS,63,Mixed,"Mixed,(1,523),- 63% of the 1,523 user reviews for this game are positive."
Halloween Pumpkin Story,-1,,"4 user reviews,- Need more user reviews to generate a score"
Fire Pro DLC Bundle,-1,,
Chocolate makes you happy 3,70,Mostly Positive,"Mostly Positive,(17),- 70% of the 17 user reviews for this game are positive."
Realms of Arkania 1 - Blade of Destiny Classic,70,Mostly Positive,"Mostly Positive,(34),- 70% of the 34 user reviews for this game are positive."
Virtually Impossible,-1,,"9 user reviews,- Need more user reviews to generate a score"
Split Of Knight,76,Mostly Positive,"Mostly Positive,(17),- 76% of the 17 user reviews for this game are positive."
Lux Alliance,61,Mixed,"Mixed,(21),- 61% of the 21 user reviews for this game are positive."
SUPERFIGHT,61,Mixed,"Mixed,(118),- 61% of the 118 user reviews for this game are positive."
Fields of Battle,69,Mixed,"Mixed,(93),- 69% of the 93 user reviews for this game are positive."
Gold Rush: The Game - Collector's Edition,-1,,
Oil Baron,76,Mostly Positive,"Mostly Positive,(13),- 76% of the 13 user reviews for this game are positive."
Alchemy Mysteries: Prague Legends,76,Mostly Positive,"Mostly Positive,(809),- 76% of the 809 user reviews for this game are positive."
Big Action Mega Fight!,79,Mostly Positive,"Mostly Positive,(107),- 79% of the 107 user reviews for this game are positive."
Nonogram - Master's Legacy,72,Mostly Positive,"Mostly Positive,(58),- 72% of the 58 user reviews for this game are positive."
Gladiator Trainer,70,Mostly Positive,"Mostly Positive,(134),- 70% of the 134 user reviews for this game are positive."
My Name is You,77,Mostly Positive,"Mostly Positive,(388),- 77% of the 388 user reviews for this game are positive."
ClearMem :: Free Up Your RAM,48,Mixed,"Mixed,(45),- 48% of the 45 user reviews for this software are positive."
The Baconing,76,Mostly Positive,"Mostly Positive,(88),- 76% of the 88 user reviews for this game are positive."
The Guild II - Pirates of the European Seas,69,Mixed,"Mixed,(133),- 69% of the 133 user reviews for this game are positive."
Battle for the Galaxy,41,Mixed,"Mixed,(105),- 41% of the 105 user reviews for this game are positive."
Riding Club Championships,68,Mixed,"Mixed,(387),- 68% of the 387 user reviews for this game are positive."
Fat Prisoner Simulator,79,Mostly Positive,"Mostly Positive,(73),- 79% of the 73 user reviews for this game are positive."
Nautical Life,-1,,"5 user reviews,- Need more user reviews to generate a score"
Toby: The Secret Mine,63,Mixed,"Mixed,(301),- 63% of the 301 user reviews for this game are positive."
Path of War,53,Mixed,"Mixed,(153),- 53% of the 153 user reviews for this game are positive."
Double Play: 2-Player VR Baseball,-1,,"3 user reviews,- Need more user reviews to generate a score"
Gothic 3: Forsaken Gods Enhanced Edition,45,Mixed,"Mixed,(410),- 45% of the 410 user reviews for this game are positive."
Storm Of Spears RPG,71,Mostly Positive,"Mostly Positive,(373),- 71% of the 373 user reviews for this game are positive."
You have a drunk friend,71,Mostly Positive,"Mostly Positive,(106),- 71% of the 106 user reviews for this game are positive."
ШХД: ЗИМА / IT'S WINTER,69,Mixed,"Mixed,(327),- 69% of the 327 user reviews for this game are positive."
Immortal: Unchained - Storm Breaker Combo Pack,-1,,
Fate/EXTELLA LINK - Tropical Set,-1,,
Warrior Kings,70,Mostly Positive,"Mostly Positive,(47),- 70% of the 47 user reviews for this game are positive."
Lords of the Realm,78,Mostly Positive,"Mostly Positive,(33),- 78% of the 33 user reviews for this game are positive."
Legends of Talia: Arcadia,72,Mostly Positive,"Mostly Positive,(87),- 72% of the 87 user reviews for this game are positive."
Giant Life,-1,,"6 user reviews,- Need more user reviews to generate a score"
Crusader Kings Complete,64,Mixed,"Mixed,(99),- 64% of the 99 user reviews for this game are positive."
Solar Battle Glargaz,78,Mostly Positive,"Mostly Positive,(14),- 78% of the 14 user reviews for this game are positive."
Tea Party Simulator 2015™,67,Mixed,"Mixed,(70),- 67% of the 70 user reviews for this game are positive."
POLYWAR,72,Mostly Positive,"Mostly Positive,(307),- 72% of the 307 user reviews for this game are positive."
Battle High 2 A+,72,Mostly Positive,"Mostly Positive,(11),- 72% of the 11 user reviews for this game are positive."
Agent Walker: Secret Journey,63,Mixed,"Mixed,(58),- 63% of the 58 user reviews for this game are positive."
Cosa Nostra,55,Mixed,"Mixed,(18),- 55% of the 18 user reviews for this game are positive."
Red Crucible®: Reloaded,55,Mixed,"Mixed,(636),- 55% of the 636 user reviews for this game are positive."
XDeskClock,-1,,"9 user reviews,- Need more user reviews to generate a score"
CLICKER ACHIEVEMENTS - THE IMPOSSIBLE CHALLENGE,70,Mostly Positive,"Mostly Positive,(31),- 70% of the 31 user reviews for this game are positive."
Devoid of Shadows,70,Mostly Positive,"Mostly Positive,(126),- 70% of the 126 user reviews for this game are positive."
Hentai And Your Life,78,Mostly Positive,"Mostly Positive,(52),- 78% of the 52 user reviews for this game are positive."
Just Ignore Them,76,Mostly Positive,"Mostly Positive,(285),- 76% of the 285 user reviews for this game are positive."
Battlevoid Bundle,-1,,
Mini Thief,75,Mostly Positive,"Mostly Positive,(264),- 75% of the 264 user reviews for this game are positive."
Detective Holmes: Trap for the Hunter. Hidden objects. 探し物,74,Mostly Positive,"Mostly Positive,(31),- 74% of the 31 user reviews for this game are positive."
Thing-in-Itself,76,Mostly Positive,"Mostly Positive,(65),- 76% of the 65 user reviews for this game are positive."
Flix and Chill 2: Millennials,78,Mostly Positive,"Mostly Positive,(33),- 78% of the 33 user reviews for this game are positive."
Nya Nya Nya Girls (ʻʻʻ)_(=^･ω･^=)_(ʻʻʻ),77,Mostly Positive,"Mostly Positive,(67),- 77% of the 67 user reviews for this game are positive."
Atonement 2: Ruptured by Despair,78,Mostly Positive,"Mostly Positive,(38),- 78% of the 38 user reviews for this game are positive."
Watch This!,71,Mostly Positive,"Mostly Positive,(578),- 71% of the 578 user reviews for this game are positive."
Donald VS Martians,-1,,"7 user reviews,- Need more user reviews to generate a score"
ATOMINE,79,Mostly Positive,"Mostly Positive,(127),- 79% of the 127 user reviews for this game are positive."
Ecchi Sky,70,Mostly Positive,"Mostly Positive,(10),- 70% of the 10 user reviews for this game are positive."
Trivia Vault: Mini Mixed Trivia,70,Mostly Positive,"Mostly Positive,(31),- 70% of the 31 user reviews for this game are positive."
Summer Fling,70,Mostly Positive,"Mostly Positive,(54),- 70% of the 54 user reviews for this game are positive."
Music Maker Steam Edition,54,Mixed,"Mixed,(135),- 54% of the 135 user reviews for this software are positive."
War on Folvos,77,Mostly Positive,"Mostly Positive,(31),- 77% of the 31 user reviews for this game are positive."
Resident Evil: Operation Raccoon City Complete Pack,-1,,
Ski Park Tycoon,59,Mixed,"Mixed,(52),- 59% of the 52 user reviews for this game are positive."
Hidden Object Adventure: Captain Nemo. Objets Cachés,71,Mostly Positive,"Mostly Positive,(59),- 71% of the 59 user reviews for this game are positive."
Monster Hunter: World - Additional Sticker Set Bundle 2,-1,,
The Chosen Warriors,73,Mostly Positive,"Mostly Positive,(15),- 73% of the 15 user reviews for this game are positive."
Welcome Above,-1,,"9 user reviews,- Need more user reviews to generate a score"
Masked Shooters 2,74,Mostly Positive,"Mostly Positive,(534),- 74% of the 534 user reviews for this game are positive."
Air Conflicts: Pacific Carriers,46,Mixed,"Mixed,(161),- 46% of the 161 user reviews for this game are positive."
Wildlife Park 2 - Farm World,72,Mostly Positive,"Mostly Positive,(22),- 72% of the 22 user reviews for this game are positive."
Total War Battles: KINGDOM,50,Mixed,"Mixed,(3,340),- 50% of the 3,340 user reviews for this game are positive."
Jump with Friends,71,Mostly Positive,"Mostly Positive,(32),- 71% of the 32 user reviews for this game are positive."
The King's Heroes,66,Mixed,"Mixed,(12),- 66% of the 12 user reviews for this game are positive."
Cally's Trials,76,Mostly Positive,"Mostly Positive,(25),- 76% of the 25 user reviews for this game are positive."
Freebot : Battle for FreeWeb,-1,,"7 user reviews,- Need more user reviews to generate a score"
Violett Remastered,59,Mixed,"Mixed,(464),- 59% of the 464 user reviews for this game are positive."
Dinosaur Hunt,64,Mixed,"Mixed,(2,575),- 64% of the 2,575 user reviews for this game are positive."
sWORD MASTER,-1,,"4 user reviews,- Need more user reviews to generate a score"
The Last Cowboy,-1,,"5 user reviews,- Need more user reviews to generate a score"
Hentai Temple,71,Mostly Positive,"Mostly Positive,(373),- 71% of the 373 user reviews for this game are positive."
Voyage: Journey to the Moon,77,Mostly Positive,"Mostly Positive,(61),- 77% of the 61 user reviews for this game are positive."
Mega Man X Legacy Collection 1+2 Bundle / ロックマンX アニバーサリー コレクション 1+2 バンドル,-1,,
Daylight,52,Mixed,"Mixed,(973),- 52% of the 973 user reviews for this game are positive."
Swords and Sandals Anthology 2006-2019,-1,,
Déjà Vu: MacVenture Series,79,Mostly Positive,"Mostly Positive,(39),- 79% of the 39 user reviews for this game are positive."
Ninja Blade,61,Mixed,"Mixed,(174),- 61% of the 174 user reviews for this game are positive."
Romancing Monarchy,-1,,"9 user reviews,- Need more user reviews to generate a score"
A Tale of Caos: Overture,72,Mostly Positive,"Mostly Positive,(22),- 72% of the 22 user reviews for this game are positive."
Gevaudan,73,Mostly Positive,"Mostly Positive,(60),- 73% of the 60 user reviews for this game are positive."
Shark Attack Deathmatch 2,75,Mostly Positive,"Mostly Positive,(1,196),- 75% of the 1,196 user reviews for this game are positive."
How To Be A Real Dude,46,Mixed,"Mixed,(15),- 46% of the 15 user reviews for this game are positive."
Song Writer,-1,,"8 user reviews,- Need more user reviews to generate a score"
Amulet of Dreams,62,Mixed,"Mixed,(102),- 62% of the 102 user reviews for this game are positive."
Never Forget Me,-1,,"9 user reviews,- Need more user reviews to generate a score"
Hospital Tycoon,44,Mixed,"Mixed,(315),- 44% of the 315 user reviews for this game are positive."
aMAZE Classic: Inverted,76,Mostly Positive,"Mostly Positive,(21),- 76% of the 21 user reviews for this game are positive."
Grass Simulator,64,Mixed,"Mixed,(475),- 64% of the 475 user reviews for this game are positive."
Sonny,59,Mixed,"Mixed,(218),- 59% of the 218 user reviews for this game are positive."
Dude Simulator 2,46,Mixed,"Mixed,(490),- 46% of the 490 user reviews for this game are positive."
Fighter Royale - Last Ace Flying,61,Mixed,"Mixed,(39),- 61% of the 39 user reviews for this game are positive."
Blood II: The Chosen + Expansion,51,Mixed,"Mixed,(199),- 51% of the 199 user reviews for this game are positive."
Grand Dude Simulator,51,Mixed,"Mixed,(41),- 51% of the 41 user reviews for this game are positive."
Chaos Starter,55,Mixed,"Mixed,(18),- 55% of the 18 user reviews for this game are positive."
Dinner Date,55,Mixed,"Mixed,(486),- 55% of the 486 user reviews for this game are positive."
Gangsta Sniper 2: Revenge,-1,,"9 user reviews,- Need more user reviews to generate a score"
Sphaera,43,Mixed,"Mixed,(16),- 43% of the 16 user reviews for this game are positive."
Happy Santa,46,Mixed,"Mixed,(13),- 46% of the 13 user reviews for this game are positive."
Typefighters (Steam Edition),68,Mixed,"Mixed,(105),- 68% of the 105 user reviews for this game are positive."
Gnomes Garden Lost King,45,Mixed,"Mixed,(31),- 45% of the 31 user reviews for this game are positive."
Miscreated Iron Sons' Edition,-1,,
King of Bali,43,Mixed,"Mixed,(134),- 43% of the 134 user reviews for this game are positive."
Car Mechanic Simulator 2015 - Platinum Edition,-1,,
SurvivalZ,59,Mixed,"Mixed,(97),- 59% of the 97 user reviews for this game are positive."
The Men of Yoshiwara: Kikuya and Ohgiya Bundle,-1,,
Memory's Dogma CODE:01 - Collector's Edition,-1,,
WORLD END ECONOMiCA -complete-,-1,,
Kung Fu Master,-1,,
Insanity VR: Last Score,87,Very Positive,"Very Positive,(128),- 87% of the 128 user reviews for this game are positive."
DMCHDC Theme Stylish!,93,Very Positive,"Very Positive,(76),- 93% of the 76 user reviews for this game are positive."
Lingering Fragrance,91,Very Positive,"Very Positive,(454),- 91% of the 454 user reviews for this game are positive."
Traum,94,Very Positive,"Very Positive,(232),- 94% of the 232 user reviews for this game are positive."
Saints Row: The Third - Tricks and Treats Pack,-1,,
GLAD VALAKAS SIMULATOR,96,Very Positive,"Very Positive,(344),- 96% of the 344 user reviews for this game are positive."
MudRunner - The Valley DLC,85,Very Positive,"Very Positive,(199),- 85% of the 199 user reviews for this game are positive."
Killing Floor - Character Pack Bundle,-1,,
Jake's Love Story,84,Very Positive,"Very Positive,(58),- 84% of the 58 user reviews for this game are positive."
Valentino Rossi The Game Compact,62,Mixed,"Mixed,(16),- 62% of the 16 user reviews for this game are positive."
The Legend of Bean,62,Mixed,"Mixed,(27),- 62% of the 27 user reviews for this game are positive."
Whispering Flames,63,Mixed,"Mixed,(11),- 63% of the 11 user reviews for this game are positive."
Drive//Shaft,59,Mixed,"Mixed,(54),- 59% of the 54 user reviews for this game are positive."
Neptune: Arena FPS,66,Mixed,"Mixed,(39),- 66% of the 39 user reviews for this game are positive."
Task Force 1942: Surface Naval Action in the South Pacific,68,Mixed,"Mixed,(16),- 68% of the 16 user reviews for this game are positive."
Away From Earth: Mars,59,Mixed,"Mixed,(199),- 59% of the 199 user reviews for this game are positive."
Crimson Earth,55,Mixed,"Mixed,(187),- 55% of the 187 user reviews for this game are positive."
Cat Girl,56,Mixed,"Mixed,(317),- 56% of the 317 user reviews for this game are positive."
Quantum Pilot,-1,,"4 user reviews,- Need more user reviews to generate a score"
City of Rott: Streets of Rott,62,Mixed,"Mixed,(16),- 62% of the 16 user reviews for this game are positive."
Volo Airsport,61,Mixed,"Mixed,(128),- 61% of the 128 user reviews for this game are positive."
Germ Wars,57,Mixed,"Mixed,(19),- 57% of the 19 user reviews for this game are positive."
Viking Escape,-1,,"9 user reviews,- Need more user reviews to generate a score"
Inner Mazes - Souls Guides,-1,,"3 user reviews,- Need more user reviews to generate a score"
Inevitability,43,Mixed,"Mixed,(32),- 43% of the 32 user reviews for this game are positive."
You Deserve,69,Mixed,"Mixed,(135),- 69% of the 135 user reviews for this game are positive."
My House,69,Mixed,"Mixed,(84),- 69% of the 84 user reviews for this game are positive."
Russian Horror Story,57,Mixed,"Mixed,(191),- 57% of the 191 user reviews for this game are positive."
BREACH IT,58,Mixed,"Mixed,(118),- 58% of the 118 user reviews for this game are positive."
Volstead,-1,,"6 user reviews,- Need more user reviews to generate a score"
Chilled Mouse RPG Bundle,-1,,
Bitcoin Collector,53,Mixed,"Mixed,(13),- 53% of the 13 user reviews for this game are positive."
EVIL STAR,55,Mixed,"Mixed,(43),- 55% of the 43 user reviews for this game are positive."
Super Meat Shooter,50,Mixed,"Mixed,(18),- 50% of the 18 user reviews for this game are positive."
Race,60,Mixed,"Mixed,(45),- 60% of the 45 user reviews for this game are positive."
NeonCode,68,Mixed,"Mixed,(32),- 68% of the 32 user reviews for this game are positive."
Story: Heaven & Hell (Complete Edition),50,Mixed,"Mixed,(18),- 50% of the 18 user reviews for this game are positive."
Guardian,-1,,"4 user reviews,- Need more user reviews to generate a score"
Rift Coaster HD Remastered VR,51,Mixed,"Mixed,(45),- 51% of the 45 user reviews for this game are positive."
Acucalypse,-1,,"6 user reviews,- Need more user reviews to generate a score"
Endless Horde,66,Mixed,"Mixed,(103),- 66% of the 103 user reviews for this game are positive."
XORPLE,61,Mixed,"Mixed,(13),- 61% of the 13 user reviews for this game are positive."
Remain,44,Mixed,"Mixed,(18),- 44% of the 18 user reviews for this game are positive."
Vlad the Impaler,69,Mixed,"Mixed,(299),- 69% of the 299 user reviews for this game are positive."
Malzbie's Pinball Collection,67,Mixed,"Mixed,(64),- 67% of the 64 user reviews for this game are positive."
aMAZE ABC,52,Mixed,"Mixed,(17),- 52% of the 17 user reviews for this game are positive."
aMAZE Dark Times,66,Mixed,"Mixed,(42),- 66% of the 42 user reviews for this game are positive."
Astro Joust,-1,,"2 user reviews,- Need more user reviews to generate a score"
Pixel Space,-1,,"9 user reviews,- Need more user reviews to generate a score"
Blood Feed,67,Mixed,"Mixed,(298),- 67% of the 298 user reviews for this game are positive."
Wizards' Clash,64,Mixed,"Mixed,(14),- 64% of the 14 user reviews for this game are positive."
Forex Trading Master: Simulator,50,Mixed,"Mixed,(16),- 50% of the 16 user reviews for this game are positive."
Beer Bar,61,Mixed,"Mixed,(13),- 61% of the 13 user reviews for this game are positive."
Dinosaur Hunt First Blood,46,Mixed,"Mixed,(100),- 46% of the 100 user reviews for this game are positive."
Survival Zombies The Inverted Evolution,57,Mixed,"Mixed,(693),- 57% of the 693 user reviews for this game are positive."
Unrested Development,-1,,"4 user reviews,- Need more user reviews to generate a score"
Sun & Clouds | Sphaeres VR Travel Timelapse | 360° Video | 6K/2D,-1,,"2 user reviews,- Need more user reviews to generate a score"
Pain Train,56,Mixed,"Mixed,(707),- 56% of the 707 user reviews for this game are positive."
Pebbly Beach | Sphaeres VR Nature Experience | 360° Video | 6K/2D,-1,,"2 user reviews,- Need more user reviews to generate a score"
Gangsta Sniper,55,Mixed,"Mixed,(27),- 55% of the 27 user reviews for this game are positive."
Solitaire - Cat Pirate Portrait,64,Mixed,"Mixed,(17),- 64% of the 17 user reviews for this game are positive."
LesLove.Club: Jessica and Ashley,61,Mixed,"Mixed,(13),- 61% of the 13 user reviews for this game are positive."
Data mining 3,-1,,"2 user reviews,- Need more user reviews to generate a score"
Smart Cube,66,Mixed,"Mixed,(12),- 66% of the 12 user reviews for this game are positive."
West of Red,48,Mixed,"Mixed,(39),- 48% of the 39 user reviews for this game are positive."
Search and Find Bundle 6-in-1. HOPA,-1,,
Chocolate makes you happy 2,66,Mixed,"Mixed,(21),- 66% of the 21 user reviews for this game are positive."
Shadow Ninja: Apocalypse,50,Mixed,"Mixed,(97),- 50% of the 97 user reviews for this game are positive."
PROTEST,68,Mixed,"Mixed,(38),- 68% of the 38 user reviews for this game are positive."
King Of Mazes,-1,,"7 user reviews,- Need more user reviews to generate a score"
Rabbit: Jigsaw Puzzles,-1,,"6 user reviews,- Need more user reviews to generate a score"
King Arthur I & II Collection,-1,,
Luke Sidewalker,48,Mixed,"Mixed,(31),- 48% of the 31 user reviews for this game are positive."
"ДОКА 2! - КРОВЬ, КИШКИ, ГОЛЫЕ СИСЬКИ",68,Mixed,"Mixed,(47),- 68% of the 47 user reviews for this game are positive."
Nazi Bunker,54,Mixed,"Mixed,(22),- 54% of the 22 user reviews for this game are positive."
Contract With The Devil,67,Mixed,"Mixed,(43),- 67% of the 43 user reviews for this game are positive."
AVSEQ,57,Mixed,"Mixed,(26),- 57% of the 26 user reviews for this game are positive."
Galactic Force,66,Mixed,"Mixed,(59),- 66% of the 59 user reviews for this game are positive."
"Fantasy Bundle ""Craft and Trade""",-1,,
Crankies Workshop: Bozzbot Assembly,46,Mixed,"Mixed,(28),- 46% of the 28 user reviews for this game are positive."
Crankies Workshop: Grizzbot Assembly,68,Mixed,"Mixed,(22),- 68% of the 22 user reviews for this game are positive."
Attack on Titan - Episode All Set,-1,,
Redrum: Dead Diary,51,Mixed,"Mixed,(29),- 51% of the 29 user reviews for this game are positive."
Pixel Puzzles Ultimate: 2018 Jigsaw Collection,-1,,
The Egyptian Prophecy: The Fate of Ramses,50,Mixed,"Mixed,(61),- 50% of the 61 user reviews for this game are positive."
Meower's Quest: Jasper's Tale,-1,,"2 user reviews,- Need more user reviews to generate a score"
Corobundle! Games developed by Carlos Coronado.,-1,,
Defense of Roman Britain,-1,,"9 user reviews,- Need more user reviews to generate a score"
LeonWaan MineSweeper,-1,,"5 user reviews,- Need more user reviews to generate a score"
King Lucas,64,Mixed,"Mixed,(76),- 64% of the 76 user reviews for this game are positive."
Zen Chess: Mate in Two,-1,,"8 user reviews,- Need more user reviews to generate a score"
Insane Cold: Back to the Ice Age,57,Mixed,"Mixed,(49),- 57% of the 49 user reviews for this game are positive."
Sextris Effect,-1,,"7 user reviews,- Need more user reviews to generate a score"
Kaboom Monsters,58,Mixed,"Mixed,(92),- 58% of the 92 user reviews for this game are positive."
JQ: cosmos,-1,,"2 user reviews,- Need more user reviews to generate a score"
Professor Watts Word Search: Pirates Life,-1,,"3 user reviews,- Need more user reviews to generate a score"
Galactic Lords,-1,,"2 user reviews,- Need more user reviews to generate a score"
Welcome Back Daddy,50,Mixed,"Mixed,(18),- 50% of the 18 user reviews for this game are positive."
Affairs of the Court - Deluxe Edition,-1,,
Fable of the Sword,65,Mixed,"Mixed,(107),- 65% of the 107 user reviews for this game are positive."
Gazing from beyond,67,Mixed,"Mixed,(343),- 67% of the 343 user reviews for this game are positive."
The Moment We Met,67,Mixed,"Mixed,(89),- 67% of the 89 user reviews for this game are positive."
Groove Coaster + UNDERTALE DLC Bundle,-1,,
Super POTUS Trump,56,Mixed,"Mixed,(390),- 56% of the 390 user reviews for this game are positive."
Crypt of the Serpent King,66,Mixed,"Mixed,(57),- 66% of the 57 user reviews for this game are positive."
Football Manager Touch 2018,51,Mixed,"Mixed,(93),- 51% of the 93 user reviews for this game are positive."
TRS19 - United Kingdom Edition,-1,,
M.A.C.E. Tower Defense,60,Mixed,"Mixed,(15),- 60% of the 15 user reviews for this game are positive."
Deadlands Noir - That Old Time Religion,60,Mixed,"Mixed,(23),- 60% of the 23 user reviews for this game are positive."
Countryballs: Over The World,64,Mixed,"Mixed,(25),- 64% of the 25 user reviews for this game are positive."
Dinosaur Bone Digging,-1,,"4 user reviews,- Need more user reviews to generate a score"
Hentai University,52,Mixed,"Mixed,(76),- 52% of the 76 user reviews for this game are positive."
Death End re;Quest Deluxe Edition Bundle / デラックスエディション / 豪華組合包,-1,,
Star Chronicles: Delta Quadrant,60,Mixed,"Mixed,(112),- 60% of the 112 user reviews for this game are positive."
Gynophobia,65,Mixed,"Mixed,(422),- 65% of the 422 user reviews for this game are positive."
Reach 50 : Sexy Hentai Girls,-1,,"3 user reviews,- Need more user reviews to generate a score"
Zombitatos the end of the Pc master race,69,Mixed,"Mixed,(211),- 69% of the 211 user reviews for this game are positive."
SPACE ASTEROID SHOOTER 🌀 RETRO ACHIEVEMENT ODYSSEY,40,Mixed,"Mixed,(10),- 40% of the 10 user reviews for this game are positive."
Putrefaction,66,Mixed,"Mixed,(272),- 66% of the 272 user reviews for this game are positive."
Echoes III,-1,,"6 user reviews,- Need more user reviews to generate a score"
Ninja Midori,-1,,"4 user reviews,- Need more user reviews to generate a score"
Stately Snail Games,-1,,
Kick The Anime Simulator,54,Mixed,"Mixed,(11),- 54% of the 11 user reviews for this game are positive."
Deluxe,-1,,
The Incredible Adventures of Van Helsing II,67,Mixed,"Mixed,(1,307),- 67% of the 1,307 user reviews for this game are positive."
Waifu Hunter - Episode 1 : The Runaway Samurai,-1,,"5 user reviews,- Need more user reviews to generate a score"
Remnith,-1,,"7 user reviews,- Need more user reviews to generate a score"
Samurai Wars,53,Mixed,"Mixed,(13),- 53% of the 13 user reviews for this game are positive."
Horny Fighter,66,Mixed,"Mixed,(12),- 66% of the 12 user reviews for this game are positive."
BattleRush - Winter Pass,-1,,
Clan of Champions,56,Mixed,"Mixed,(41),- 56% of the 41 user reviews for this game are positive."
Sniper Hunter Adventure 3D,-1,,"6 user reviews,- Need more user reviews to generate a score"
Delude - Succubus Prison,46,Mixed,"Mixed,(13),- 46% of the 13 user reviews for this game are positive."
RC Plane 3,62,Mixed,"Mixed,(77),- 62% of the 77 user reviews for this game are positive."
Port Royale 3 Gold,-1,,
Antisphere,69,Mixed,"Mixed,(52),- 69% of the 52 user reviews for this game are positive."
When They Arrived,44,Mixed,"Mixed,(47),- 44% of the 47 user reviews for this game are positive."
Zafehouse: Diaries,66,Mixed,"Mixed,(287),- 66% of the 287 user reviews for this game are positive."
Word Typing Game,52,Mixed,"Mixed,(25),- 52% of the 25 user reviews for this game are positive."
Dream Coaster VR,52,Mixed,"Mixed,(53),- 52% of the 53 user reviews for this game are positive."
WireNet,-1,,"4 user reviews,- Need more user reviews to generate a score"
Ecchi Cards,48,Mixed,"Mixed,(50),- 48% of the 50 user reviews for this game are positive."
Princess's Peak,66,Mixed,"Mixed,(12),- 66% of the 12 user reviews for this game are positive."
AdVenture Communist,68,Mixed,"Mixed,(3,675),- 68% of the 3,675 user reviews for this game are positive."
The Entente Gold,43,Mixed,"Mixed,(461),- 43% of the 461 user reviews for this game are positive."
Hidden Object Adventure Bundle,-1,,
RKN - Roskomnadzor Banned Internet,61,Mixed,"Mixed,(13),- 61% of the 13 user reviews for this game are positive."
Trophy Fishing 2,67,Mixed,"Mixed,(606),- 67% of the 606 user reviews for this game are positive."
Mahjong Solitaire,-1,,"9 user reviews,- Need more user reviews to generate a score"
Trackmania® Turbo,62,Mixed,"Mixed,(1,121),- 62% of the 1,121 user reviews for this game are positive."
Survivor Squad,68,Mixed,"Mixed,(539),- 68% of the 539 user reviews for this game are positive."
Bottle,60,Mixed,"Mixed,(222),- 60% of the 222 user reviews for this game are positive."
Easter Clicker: Idle Manager,-1,,"8 user reviews,- Need more user reviews to generate a score"
SUPERFIGHT - The Super Bundle,-1,,
Bloody Glimpse,40,Mixed,"Mixed,(102),- 40% of the 102 user reviews for this game are positive."
RainDesktop,65,Mixed,"Mixed,(20),- 65% of the 20 user reviews for this software are positive."
Puzzle Island VR,-1,,"8 user reviews,- Need more user reviews to generate a score"
NVL,56,Mixed,"Mixed,(90),- 56% of the 90 user reviews for this game are positive."
Zahalia,-1,,"5 user reviews,- Need more user reviews to generate a score"
Music Breath Premium Pack,-1,,
Extreme Truck Simulator,-1,,"7 user reviews,- Need more user reviews to generate a score"
Bryan Audley's Numbers,62,Mixed,"Mixed,(40),- 62% of the 40 user reviews for this game are positive."
American Conquest: Fight Back,66,Mixed,"Mixed,(196),- 66% of the 196 user reviews for this game are positive."
Cossacks II: Battle for Europe,62,Mixed,"Mixed,(314),- 62% of the 314 user reviews for this game are positive."
Zombie Scrapper,-1,,"3 user reviews,- Need more user reviews to generate a score"
Hidden Object - Tools,-1,,"3 user reviews,- Need more user reviews to generate a score"
Jane's Realty,-1,,"7 user reviews,- Need more user reviews to generate a score"
Townopolis,61,Mixed,"Mixed,(31),- 61% of the 31 user reviews for this game are positive."
Battle of Empires: 1914-1918 - Classic,-1,,
Lawnmower Game 2: Drifter,-1,,"9 user reviews,- Need more user reviews to generate a score"
Street Fighter V - 2017 Halloween and Holiday Costumes Bundle,-1,,
Kidnapped,49,Mixed,"Mixed,(190),- 49% of the 190 user reviews for this game are positive."
Crimson Sword Saga: The Peloran Wars,-1,,"7 user reviews,- Need more user reviews to generate a score"
Zenesthetic,-1,,"6 user reviews,- Need more user reviews to generate a score"
Autumn,50,Mixed,"Mixed,(16),- 50% of the 16 user reviews for this game are positive."
Megapolis,66,Mixed,"Mixed,(48),- 66% of the 48 user reviews for this game are positive."
KRUM - Edge Of Darkness,57,Mixed,"Mixed,(14),- 57% of the 14 user reviews for this game are positive."
Frontiers.io,-1,,"2 user reviews,- Need more user reviews to generate a score"
