name,developer,publisher,popular_tags,game_details,genre
Dead Space,EA Redwood Shores,"Electronic Arts,Electronic Arts","Horror,Sci-fi,Action,Space,Third Person,Survival Horror,Atmospheric,Singleplayer,Third-Person Shooter,Gore,Shooter,Aliens,Dark,Futuristic,Story Rich,Silent Protagonist,Survival,Adventure,Masterpiece,Zombies","Single-player,Full controller support",Action
STAR WARS™ Jedi Knight - Jedi Academy™,"Raven Software,Aspyr (Mac)","LucasArts,Aspyr (Mac),Lucasfilm,Disney Interactive,LucasArts,Aspyr (Mac),Lucasfilm,Disney Interactive","Star Wars,Action,Sci-fi,Third Person,Multiplayer,Classic,Singleplayer,Moddable,FPS,Swordplay,Character Customization,Adventure,Shooter,First-Person,RPG,Third-Person Shooter,Masterpiece,Great Soundtrack,Hack and Slash,Female Protagonist","Single-player,Online Multi-Player,Local Multi-Player,Partial Controller Support,Steam Cloud",Action
Skullgirls,Lab Zero Games,"Marvelous,Autumn Games,Marvelous,Autumn Games","Fighting,2D Fighter,Indie,Anime,Multiplayer,2D,Great Soundtrack,Action,Female Protagonist,Competitive,Local Multiplayer,Crowdfunded,Cute,Hand-drawn,Cartoon,Arcade,Controller,Singleplayer,Beat 'em up,Nudity","Single-player,Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Indie"
Call to Arms,Digitalmindsoft,"Digitalmindsoft,Digitalmindsoft","Strategy,Military,RTS,Multiplayer,Free to Play,War,Action,Tactical,Simulation,FPS,Singleplayer,Modern,Co-op,Realistic,Shooter,First-Person,Third Person,Early Access,Sandbox,Indie","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,In-App Purchases,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards,Includes level editor","Action,Free to Play,Indie,Simulation,Strategy"
Champions Online,Cryptic Studios,"Perfect World Entertainment,Perfect World Entertainment","Free to Play,Superhero,Massively Multiplayer,RPG,MMORPG,Character Customization,Open World,Action,Multiplayer,Third Person,Co-op,Adventure,Comic Book,Action RPG,Sci-fi,Singleplayer,Online Co-Op,PvP,FPS,Controller","Multi-player,MMO,Co-op,Steam Achievements","Free to Play,Massively Multiplayer,RPG"
The Legend of Heroes: Trails in the Sky,Nihon Falcom,"XSEED Games,Marvelous USA, Inc.,XSEED Games,Marvelous USA, Inc.","JRPG,RPG,Story Rich,Anime,Great Soundtrack,Turn-Based,Female Protagonist,Fantasy,Adventure,Masterpiece,Singleplayer,Turn-Based Strategy,Classic,Tactical RPG,Strategy,Turn-Based Combat,Action,Romance,Strategy RPG,Tactical","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",RPG
Magicka 2,Pieces Interactive,"Paradox Interactive,Paradox Interactive","Magic,Co-op,Adventure,Comedy,Multiplayer,Action,Funny,Online Co-Op,Atmospheric,Team-Based,PvP,RPG,Open World,Local Co-Op,Fantasy,Memes,Masterpiece,Gore,Local Multiplayer,Singleplayer","Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards","Action,Adventure"
FATE,WildTangent,"WildTangent,WildTangent","RPG,Action,Adventure,Dungeon Crawler,Classic,Action RPG,Hack and Slash,Fantasy,Singleplayer,Fishing,Casual,Isometric,Loot","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Adventure,RPG"
Risk of Rain,Hopoo Games,"Chucklefish,Chucklefish","Rogue-like,Indie,Platformer,Action,Pixel Graphics,Great Soundtrack,Online Co-Op,Difficult,Perma Death,Co-op,2D,Local Co-Op,Rogue-lite,Multiplayer,Singleplayer,Addictive,RPG,Replay Value,Survival,Sci-fi","Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Steam Trading Cards,Partial Controller Support","Action,Indie,RPG"
Clicker Heroes,Playsaurus,"Playsaurus,Playsaurus","Clicker,Free to Play,Singleplayer,Casual,2D,Indie,Funny,Addictive,RPG,Adventure,Fantasy,Family Friendly,Strategy,Simulation,Multiplayer,Touch-Friendly,Action,Management,Illuminati,Co-op","Single-player,Steam Achievements,Steam Trading Cards,In-App Purchases,Steam Cloud,Stats","Adventure,Casual,Free to Play,Indie,RPG,Simulation,Strategy"
Insaniquarium Deluxe,"PopCap Games, Inc.","PopCap Games, Inc.,PopCap Games, Inc.","Casual,Simulation,Classic,Singleplayer,Underwater,Aliens,Point & Click,Clicker,Cute,Action,Strategy,Colorful,Family Friendly,Funny,Difficult,Relaxing",Single-player,Casual
Xenonauts,Goldhawk Interactive,"Goldhawk Interactive,Goldhawk Interactive","Turn-Based Strategy,Strategy,Sci-fi,Turn-Based,Turn-Based Tactics,Aliens,Singleplayer,Indie,Tactical,Isometric,Base Building,Simulation,Cold War,Kickstarter,Remake,2D,RPG,Masterpiece,Atmospheric,Management","Single-player,Steam Trading Cards","Indie,Simulation,Strategy"
Craft The World,Dekovir Entertainment,"Black Maple Games,Black Maple Games","Sandbox,Crafting,Building,Survival,Strategy,Indie,2D,Multiplayer,Simulation,Singleplayer,Open World,City Builder,RPG,Resource Management,Fantasy,Adventure,God Game,Tower Defense,Casual,Side Scroller","Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor","Indie,RPG,Simulation,Strategy"
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,"LucasArts,Aspyr Studios","LucasArts,Aspyr (Mac),Lucasfilm,Disney Interactive,LucasArts,Aspyr (Mac),Lucasfilm,Disney Interactive","Star Wars,Action,Third Person,Singleplayer,Sci-fi,Hack and Slash,Adventure,Story Rich,Controller,Great Soundtrack,Quick-Time Events,Beat 'em up,Platformer,RPG,Masterpiece","Single-player,Partial Controller Support,Steam Cloud",Action
The Secret of Monkey Island: Special Edition,LucasArts,"LucasArts,Lucasfilm,Disney Interactive,LucasArts,Lucasfilm,Disney Interactive","Point & Click,Adventure,Comedy,Classic,Pirates,Remake,Masterpiece,Funny,Singleplayer,Puzzle,Pixel Graphics,1990's,2D,Great Soundtrack,Story Rich,Retro,Cult Classic,Third Person,Atmospheric,Indie","Single-player,Full controller support,Steam Cloud",Adventure
TowerFall Ascension,Matt Thorson,"Matt Makes Games Inc.,Matt Makes Games Inc.","Local Multiplayer,Indie,Local Co-Op,Action,Pixel Graphics,Platformer,4 Player Local,Multiplayer,2D,Co-op,Controller,Arcade,Fighting,Adventure,Retro,Great Soundtrack,Difficult,Online Co-Op","Single-player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats","Action,Indie"
Sniper: Ghost Warrior 2,City Interactive,"CI Games,CI Games","Sniper,Action,FPS,Shooter,Stealth,Multiplayer,Singleplayer,First-Person,Military,Tactical,Adventure,Co-op,Strategy,Open World,Online Co-Op,Simulation,Bullet Time,Controller,Atmospheric,Difficult","Single-player,Multi-player,Steam Achievements,Full controller support,Steam Leaderboards",Action
Spec Ops: The Line,YAGER,"2K,Missing Link Games,2K,Missing Link Games","Story Rich,Third-Person Shooter,Action,Atmospheric,Psychological,Singleplayer,Third Person,War,Shooter,Dark,Adventure,Multiplayer,Emotional,Political,Military,Mature,Great Soundtrack,Masterpiece,Based On A Novel,Post-apocalyptic","Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Cloud,Stats,Steam Leaderboards","Action,Adventure"
"Please, Don’t Touch Anything",Four Quarters,"ForwardXP,ForwardXP","Puzzle,Indie,Pixel Graphics,Singleplayer,Point & Click,Illuminati,Multiple Endings,Great Soundtrack,Casual,Difficult,2D,Hidden Object,Short,Horror,Funny,Psychological Horror","Single-player,Steam Achievements,Steam Trading Cards,Commentary available","Casual,Indie"
Defense Grid: The Awakening,Hidden Path Entertainment,"Hidden Path Entertainment,Hidden Path Entertainment","Tower Defense,Strategy,Sci-fi,Singleplayer,Indie,Aliens,Futuristic,Addictive,Masterpiece,Touch-Friendly,Replay Value,Adventure,Controller,Action","Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Indie,Strategy"
Grandia® II Anniversary Edition,"GAME ARTS Co., Ltd.,SkyBox Labs"," GungHo Online Entertainment America, Inc.	, GungHo Online Entertainment America, Inc.	","JRPG,RPG,Classic,Story Rich,Great Soundtrack,Singleplayer,Fantasy,Cult Classic,Adventure,Turn-Based Combat,Anime,Turn-Based,Retro,Masterpiece,Remake","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",RPG
Half-Life: Source,Valve,"Valve,Valve","FPS,Action,Classic,Sci-fi,Singleplayer,Shooter,First-Person,Aliens,Story Rich,Zombies,1990's,Adventure,Remake,Atmospheric,Masterpiece,Multiplayer,Silent Protagonist,Horror,Moddable,Great Soundtrack",Single-player,Action
Assassin’s Creed® Rogue,"Ubisoft Sofia,Ubisoft Kiev","Ubisoft,Ubisoft","Open World,Assassin,Action,Parkour,Third Person,Adventure,Stealth,Historical,Singleplayer,Cinematic,Atmospheric,Illuminati,Pirates,Story Rich,Action-Adventure,Sandbox,Quick-Time Events,Puzzle,Simulation,Masterpiece","Single-player,Partial Controller Support","Action,Adventure"
Worms Ultimate Mayhem,Team17 Digital Ltd,"Team17 Digital Ltd,Team17 Digital Ltd","Strategy,Multiplayer,Funny,Turn-Based,Comedy,Turn-Based Strategy,Action,Third Person,Destruction,Local Co-Op,Singleplayer,3D Vision,Masterpiece,Local Multiplayer,3D,Classic,FPS","Single-player,Multi-player,Shared/Split Screen,Steam Achievements,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards",Strategy
Mass Effect,BioWare,"Electronic Arts,Electronic Arts","RPG,Sci-fi,Story Rich,Action,Third-Person Shooter,Space,Singleplayer,Great Soundtrack,Third Person,Choices Matter,Shooter,Female Protagonist,Character Customization,Adventure,Masterpiece,Open World,Atmospheric,Romance,Real-Time with Pause,Action RPG",Single-player,"Action,RPG"
Painkiller Hell & Damnation,The Farm 51,"THQ Nordic,THQ Nordic","Action,FPS,Gore,Co-op,Horror,Singleplayer,Shooter,Multiplayer,Masterpiece,Fast-Paced,First-Person,Remake,Classic,Great Soundtrack,Demons,Local Co-Op,Atmospheric,Zombies,Split Screen,Old School","Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Steam Leaderboards,Includes level editor",Action
Secrets of Grindea,Pixel Ferrets,"Pixel Ferrets,Pixel Ferrets","Early Access,RPG,Adventure,Pixel Graphics,Action RPG,Multiplayer,Online Co-Op,Action,2D,Indie,Co-op,Early Access,Open World,JRPG,Character Customization,Puzzle,Rogue-like,Great Soundtrack,Top-Down,Singleplayer","Single-player,Online Multi-Player,Co-op,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards","Action,Adventure,Indie,RPG,Early Access"
Fallen Enchantress: Legendary Heroes,Stardock Entertainment,"Stardock Entertainment,Stardock Entertainment","Strategy,Fantasy,Turn-Based Strategy,4X,Turn-Based,Singleplayer,RPG,Magic,Moddable,Sandbox,Turn-Based Tactics,Dragons,Grand Strategy,Grid-Based Movement,Replay Value,Indie,Tactical,Exploration,Loot,Multiplayer","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Indie,RPG,Strategy"
Quake Live™,id Software,"Bethesda Softworks,Bethesda Softworks","FPS,Arena Shooter,Multiplayer,Classic,Fast-Paced,Action,Shooter,e-sports,Competitive,First-Person,Difficult,Masterpiece,Cult Classic,Old School,Funny,Parkour,Survival,Addictive,Atmospheric,Strategy","Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Stats",Action
Assassin's Creed® Revelations,Ubisoft Montreal,"Ubisoft,Ubisoft","Action,Open World,Parkour,Adventure,Stealth,Assassin,Third Person,Multiplayer,Historical,Singleplayer,Story Rich,Atmospheric,Great Soundtrack,Action-Adventure,Medieval,Conspiracy,RPG,Masterpiece,Sandbox,Controller","Single-player,Multi-player","Action,Adventure"
World of Guns: Gun Disassembly,Noble Empire Corp.,"Noble Empire Corp.,Noble Empire Corp.","Free to Play,Simulation,Gun Customization,Shooter,Education,Singleplayer,Puzzle,FPS,Military,Action,Realistic,Indie,Multiplayer,Historical,First-Person,Casual,Sandbox,America,Masterpiece,Funny","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,In-App Purchases","Free to Play,Indie,Simulation"
Nidhogg,Messhof,"Messhof,Messhof","Local Multiplayer,Indie,Fighting,Swordplay,Action,Multiplayer,2D Fighter,Pixel Graphics,PvP,2D,Fast-Paced,Sports,Funny,Competitive,Controller,Local Co-Op,Platformer,Great Soundtrack,GameMaker,Co-op","Single-player,Multi-player,Steam Achievements,Full controller support,Stats,Steam Leaderboards","Action,Indie,Sports"
"Warhammer® 40,000: Dawn of War® - Dark Crusade",Relic Entertainment,"SEGA,SEGA","Strategy,Warhammer 40K,RTS,Sci-fi,Base Building,Multiplayer,Singleplayer,Games Workshop,Classic,Real-Time,Masterpiece,War,Action,Tactical,Atmospheric,Gore,Co-op,Fantasy,Space,Adventure","Single-player,Multi-player,Steam Cloud",Strategy
Dawn of Discovery™,"Blue Byte,Related Designs","Ubisoft,Ubisoft","Strategy,City Builder,Simulation,RTS,Medieval,Trading,Singleplayer,Economy,Sandbox",Single-player,"Simulation,Strategy"
STAR WARS™ Jedi Knight II - Jedi Outcast™,"Raven Software,Aspyr (Mac)","LucasArts,Aspyr (Mac),Lucasfilm,Disney Interactive,LucasArts,Aspyr (Mac),Lucasfilm,Disney Interactive","Star Wars,Action,Classic,Sci-fi,FPS,Multiplayer,Third Person,Shooter,Singleplayer,Masterpiece,Story Rich,Adventure,Third-Person Shooter,Cult Classic,Great Soundtrack,First-Person,Swordplay,Space,Moddable,Atmospheric","Single-player,Online Multi-Player,Local Multi-Player,Partial Controller Support,Steam Cloud",Action
E.Y.E: Divine Cybermancy,Streum On Studio,"Streum On Studio,Streum On Studio","Cyberpunk,RPG,FPS,Action,Co-op,Indie,Hacking,Singleplayer,Sci-fi,Multiplayer,First-Person,Surreal,Atmospheric,Shooter,Online Co-Op,Action RPG,Story Rich,Masterpiece,Adventure,Stealth","Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Steam Trading Cards,Partial Controller Support,Stats,Steam Leaderboards","Action,Indie,RPG"
Zombie Army Trilogy,Rebellion,"Rebellion,Rebellion","Zombies,Co-op,Action,World War II,Multiplayer,Third-Person Shooter,Sniper,Horror,Gore,Survival,Shooter,Singleplayer,Post-apocalyptic,Survival Horror,Third Person,War,FPS,Open World,First-Person,Female Protagonist","Single-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards",Action
Sherlock Holmes: Crimes and Punishments,Frogwares,"Focus Home Interactive,Focus Home Interactive","Detective,Adventure,Mystery,Crime,Puzzle,Investigation,Atmospheric,Singleplayer,Story Rich,Point & Click,Historical,Third Person,Open World,Choices Matter,Action,Masterpiece,First-Person,Horror,Classic,Indie","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Adventure
Lucius,Shiver Games,"Shiver Games,Shiver Games","Horror,Adventure,Nudity,Villain Protagonist,Gore,Indie,Puzzle,Singleplayer,Action,Third Person,Stealth,Dark,Psychological Horror,Mature,Atmospheric,Point & Click,Difficult,Violent,Story Rich,Funny","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure,Indie"
Infested Planet,Rocket Bear Games,"Rocket Bear Games,Rocket Bear Games","Strategy,Action,Tower Defense,Indie,Singleplayer,RTS,Top-Down,Sci-fi,Aliens,Tactical,2D,Gore,Real-Time with Pause","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Indie,Strategy"
Mad Games Tycoon,Eggcode,"Eggcode,Eggcode","Management,Simulation,Strategy,Indie,Economy,Casual,Singleplayer,Building,Early Access","Single-player,Steam Achievements","Casual,Indie,Simulation,Strategy"
Cave Story+,"Nicalis, Inc.,Studio Pixel","Nicalis, Inc.,Nicalis, Inc.","Platformer,Metroidvania,Indie,Great Soundtrack,Action,Pixel Graphics,Adventure,2D,Retro,Singleplayer,Masterpiece,Classic,Exploration,Replay Value,Difficult,Story Rich,Shooter,Remake,Cute,Sci-fi","Single-player,Steam Achievements,Partial Controller Support","Action,Adventure,Indie"
Dino D-Day,800 North and Digital Ranch,"800 North and Digital Ranch,800 North and Digital Ranch","Dinosaurs,Multiplayer,Action,World War II,FPS,Indie,Shooter,First-Person,War,Comedy,Funny,Third Person,Alternate History,Co-op,Survival,Historical,PvP,Third-Person Shooter,Open World,Gore","Multi-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Valve Anti-Cheat enabled,Stats","Action,Indie"
Half-Life: Blue Shift,Gearbox Software,"Valve,Valve","FPS,Action,Sci-fi,Singleplayer,Shooter,Aliens,First-Person,Classic,Adventure,Zombies,1990's,Short,Atmospheric,Silent Protagonist,Story Rich,Masterpiece,Puzzle,Great Soundtrack,Moddable,Free to Play",Single-player,Action
CastleMiner Z,DigitalDNA Games LLC,"DigitalDNA Games LLC,DigitalDNA Games LLC","Survival,Multiplayer,Zombies,Action,Sandbox,Adventure,Open World,Indie,Crafting,Co-op,FPS,Shooter,Dragons,Walking Simulator,First-Person,Online Co-Op,Survival Horror,PvP,Horror,Voxel","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements","Action,Adventure,Indie"
Amnesia™: Memories,"Idea Factory,Design Factory","Idea Factory International,Idea Factory International","Otome,Visual Novel,Female Protagonist,Romance,Anime,Dating Sim,Singleplayer,Adventure,Multiple Endings,Mystery,Story Rich,Psychological Horror,Choices Matter,Horror,Comedy","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",Adventure
Dig or Die,Gaddy Games,"Gaddy Games,Gaddy Games","Survival,Sandbox,Crafting,2D,Open World,Indie,Strategy,Action,Building,Tower Defense,Multiplayer,Physics,Early Access,Pixel Graphics,Singleplayer,Base Building,RPG,Co-op,Adventure,Platformer","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Cloud","Action,Indie,RPG,Strategy"
To the Moon,Freebird Games,"Freebird Games,Freebird Games","Story Rich,Great Soundtrack,Indie,Emotional,Adventure,RPGMaker,Singleplayer,Interactive Fiction,Pixel Graphics,Masterpiece,RPG,Romance,Short,2D,Funny,Psychological,Retro,Linear,Cute,Casual","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Adventure,Indie,RPG"
Surgeon Simulator,Bossa Studios,"Bossa Studios,Bossa Studios","Simulation,Comedy,Indie,Difficult,Funny,Intentionally Awkward Controls,Singleplayer,Gore,Physics,Blood,First-Person,Action,Casual,Dark Humor,VR,Aliens,Great Soundtrack,Puzzle,Realistic,Memes","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Action,Indie,Simulation"
TrackMania² Stadium,Nadeo,"Ubisoft,Ubisoft","Racing,Multiplayer,Level Editor,Time Attack,Sports,Arcade,Singleplayer,Local Multiplayer,e-sports,Fast-Paced,Sandbox,Competitive,Split Screen,Action,Simulation,Driving","Single-player,Multi-player,Steam Workshop,Partial Controller Support,Includes level editor","Racing,Sports"
Bastion,Supergiant Games,"Supergiant Games,Supergiant Games","Great Soundtrack,Indie,Action,Narration,Singleplayer,RPG,Hack and Slash,Story Rich,Dynamic Narration,Isometric,Adventure,Action RPG,Masterpiece,Fantasy,Atmospheric,Colorful,Post-apocalyptic,Music,2D,Twin Stick Shooter","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Indie,RPG"
Deus Ex: Game of the Year Edition,Ion Storm,"Square Enix,Square Enix","Cyberpunk,RPG,Stealth,Masterpiece,Classic,FPS,Sci-fi,Cult Classic,Action,Singleplayer,Dystopian,Inventory Management,Story Rich,Great Soundtrack,Immersive Sim,First-Person,Moddable,Atmospheric,Conspiracy,Action RPG","Single-player,Multi-player",Action
LEGO® Worlds,"TT Games,Traveller's Tales","Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment","LEGO,Open World,Building,Sandbox,Adventure,Multiplayer,Exploration,Family Friendly,Singleplayer,Third Person,Funny,Early Access,Destruction,Action,Co-op,Simulation,Comedy,Casual,Walking Simulator,Voxel","Single-player,Online Multi-Player,Online Co-op,Shared/Split Screen,Steam Achievements,Full controller support",Adventure
Her Story,Sam Barlow,"Sam Barlow,Sam Barlow","Detective,FMV,Indie,Story Rich,Female Protagonist,Mystery,Realistic,Singleplayer,Adventure,Puzzle,Simulation,Crime,Experimental,Casual,Horror,Visual Novel,Psychological Horror,Short,Point & Click,Emotional","Single-player,Steam Achievements,Steam Trading Cards","Adventure,Indie,Simulation"
THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,"SNK CORPORATION,Code Mystics","SNK CORPORATION,SNK CORPORATION","Fighting,Arcade,2D Fighter,Action,Classic,2D,Anime,Pixel Graphics,Great Soundtrack,Retro,Multiplayer","Single-player,Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards",Action
Zoombinis,TERC,"Viva Media,Viva Media","Casual,Adventure,Puzzle,Education,Family Friendly,Classic,Psychological Horror,Singleplayer","Single-player,Steam Trading Cards","Adventure,Casual"
Long Live The Queen,Hanako Games,"Hanako Games,Hanako Games","Visual Novel,Anime,Female Protagonist,Simulation,Indie,Difficult,Strategy,Singleplayer,Fantasy,RPG,Cute,Medieval,Multiple Endings,Choose Your Own Adventure,Politics,Story Rich,Choices Matter,Character Customization,2D,Casual","Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Indie,RPG,Simulation,Strategy"
Overlord™,"Triumph Studios,Virtual Programming","Codemasters,Codemasters","RPG,Villain Protagonist,Third Person,Comedy,Fantasy,Action,Funny,Adventure,Singleplayer,Dark Humor,Action-Adventure,Strategy,Atmospheric,Action RPG,Masterpiece,Puzzle,RTS,Open World,Hack and Slash,Story Rich","Single-player,Partial Controller Support",RPG
System Shock 2,"Irrational Games,Looking Glass Studios","Nightdive Studios,Nightdive Studios","Cyberpunk,RPG,Sci-fi,Horror,Classic,FPS,Survival Horror,Action,Masterpiece,Cult Classic,Space,First-Person,Story Rich,Atmospheric,Immersive Sim,Great Soundtrack,Singleplayer,Co-op,Inventory Management,Shooter","Single-player,Co-op,Steam Trading Cards","Action,RPG"
STAR WARS™: The Force Unleashed™ II,Aspyr Studios,"LucasArts,Lucasfilm,Disney Interactive,LucasArts,Lucasfilm,Disney Interactive","Action,Star Wars,Sci-fi,Singleplayer,Third Person,Hack and Slash,Adventure,Short,Controller,Fantasy,Story Rich,Masterpiece,RPG","Single-player,Partial Controller Support,Steam Cloud",Action
Game of Thrones,Cyanide Studios,"Focus Home Interactive,Focus Home Interactive","RPG,Fantasy,Action,Third Person,Story Rich,Medieval,Choices Matter,Singleplayer,Adventure,Based On A Novel,Character Customization,Open World,Controller,Multiple Endings,Action RPG,Nudity,Masterpiece,Dark Fantasy","Single-player,Steam Achievements,Full controller support","Action,RPG"
Recettear: An Item Shop's Tale,EasyGameStation,"Carpe Fulgur LLC,Carpe Fulgur LLC","Capitalism,Anime,RPG,Dungeon Crawler,JRPG,Indie,Singleplayer,Cute,Simulation,Female Protagonist,Comedy,Action RPG,Management,Strategy,Fantasy,Action,Adventure,2D,Hack and Slash,Visual Novel","Single-player,Partial Controller Support","RPG,Indie"
LEGO® Marvel™ Super Heroes,Traveller's Tales,"Warner Bros. Interactive Entertainment,Feral Interactive (Mac),Warner Bros. Interactive Entertainment,Feral Interactive (Mac)","LEGO,Open World,Superhero,Adventure,Local Co-Op,Action,Family Friendly,Comedy,Funny,Comic Book,Singleplayer,Co-op,Third Person,Split Screen,Local Multiplayer,Multiplayer,Casual,Puzzle,Sandbox,Platformer","Single-player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud","Action,Adventure"
Ultra Street Fighter® IV,Capcom,"Capcom,Capcom","Fighting,Arcade,Competitive,2D Fighter,Local Multiplayer,Action,Multiplayer,Controller,e-sports,Difficult,Classic,Anime,Great Soundtrack,Singleplayer,2.5D,2D,Beat 'em up,Local Co-Op,Adventure,3D Vision","Single-player,Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards",Action
Tom Clancy's Splinter Cell Chaos Theory®,Ubisoft Montreal,"Ubisoft,Ubisoft","Stealth,Action,Third Person,Masterpiece,Classic,Co-op,Great Soundtrack,Atmospheric,Singleplayer,Tactical,Multiplayer,Shooter,Story Rich,Third-Person Shooter,Adventure,Controller,Strategy",Single-player,Action
The Legend of Heroes: Trails in the Sky SC,Nihon Falcom,"XSEED Games,Marvelous USA, Inc.,XSEED Games,Marvelous USA, Inc.","JRPG,Story Rich,RPG,Great Soundtrack,Anime,Female Protagonist,Turn-Based Combat,Singleplayer,Turn-Based,Adventure,Classic,Fantasy,Masterpiece","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",RPG
Burnout Paradise: The Ultimate Box,Criterion Games,"Electronic Arts,Electronic Arts","Racing,Open World,Multiplayer,Destruction,Great Soundtrack,Driving,Singleplayer,Arcade,Exploration,Sandbox,Action,Masterpiece,Co-op,Controller,Fast-Paced,Sports,3D Vision,Third Person,Online Co-Op,Funny","Single-player,Multi-player",Racing
DEFCON,Introversion Software,"Introversion Software,Introversion Software","Strategy,Indie,Wargame,Multiplayer,Cold War,Real-Time with Pause,RTS,Simulation,Atmospheric,War,Diplomacy,2D,Tactical,Singleplayer,Great Soundtrack,Addictive,Psychological Horror,Dark,Horror","Single-player,Multi-player","Indie,Strategy"
S.T.A.L.K.E.R.: Call of Pripyat,GSC Game World,"GSC Game World,GSC Game World","Atmospheric,Open World,Post-apocalyptic,FPS,Survival,Action,Singleplayer,RPG,Shooter,Survival Horror,First-Person,Moddable,Masterpiece,Horror,Zombies,Classic,Adventure,Sci-fi,Multiplayer,Sandbox","Single-player,Multi-player","Action,RPG"
Crysis 2 - Maximum Edition,Crytek Studios,"Electronic Arts,Electronic Arts","Action,FPS,Sci-fi,Shooter,Singleplayer,Multiplayer,Stealth,First-Person,Aliens,Futuristic,Benchmark,Adventure,Great Soundtrack,Atmospheric,Story Rich,Cyberpunk,Masterpiece,3D Vision,Open World,Survival","Single-player,Partial Controller Support",Action
The Typing of The Dead: Overkill,Modern Dream,"SEGA,SEGA","Typing,On-Rails Shooter,Zombies,Comedy,Action,Education,Parody,Arcade,Funny,Score Attack,Singleplayer,Horror,First-Person,Multiplayer,Shooter,Co-op,FPS,Great Soundtrack,Gore","Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards",Action
Half-Life: Opposing Force,Gearbox Software,"Valve,Valve","FPS,Action,Classic,Sci-fi,Singleplayer,Shooter,First-Person,Aliens,1990's,Adventure,Atmospheric,Military,Story Rich,Masterpiece,Silent Protagonist,Great Soundtrack,Co-op,Gore,Puzzle,Moddable","Single-player,Multi-player,Valve Anti-Cheat enabled",Action
Men of War: Assault Squad,Digitalmindsoft,"1C Entertainment,1C-SoftClub,1C Entertainment,1C-SoftClub","Strategy,World War II,Tactical,War,RTS,Multiplayer,Military,Realistic,Real Time Tactics,Action,Co-op,Historical,Simulation,Moddable,Tanks,Destruction,Singleplayer,Level Editor,Epic,Masterpiece","Single-player,Multi-player,Co-op,Steam Achievements,Steam Leaderboards,Includes level editor",Strategy
